Area;Centroid_1;Centroid_2;Perimeter;Circularity;Eccentricity;Solidity;MinorAxisLength;MajorAxisLength;Concentration;Time;Enumeration;rare
1653;40.41621295;469.3085299;152.652;0.85582217;0.421186033;0.95826087;44.18211983;48.71375221;1000;-3;1;n
1599;44.49906191;1883.824891;144.96;0.916091535;0.326706198;0.972627737;43.90129464;46.45020558;1000;-3;2;n
1746;88.31500573;1329.41638;153.33;0.896154928;0.34783303;0.968386023;45.86199038;48.91650858;1000;-3;3;n
1979;93.51389591;887.2602324;220.816;0.495820041;0.894521573;0.857080987;35.63941717;79.7258197;1000;-3;4;n
1625;114.9913846;282.6892308;146.879;0.907322072;0.228977768;0.968992248;45.32420904;46.56126491;1000;-3;5;n
1765;136.0708215;492.0832861;159.11;0.84251305;0.244385758;0.943850267;47.51871366;49.00462748;1000;-3;6;n
1419;157.5412262;1308.490486;139.238;0.879623386;0.168003927;0.96596324;42.77039514;43.38708502;1000;-3;7;n
1422;176.9331927;1083.126582;143.704;0.82868147;0.347745854;0.952444742;41.71323834;44.48990521;1000;-3;8;n
1176;208.1488095;1629.407313;139.006;0.731371727;0.741589945;0.934074662;32.03112739;47.7468325;1000;-3;9;n
1349;218.7449963;1420.536694;144.539;0.777275467;0.400612751;0.95;40.45744607;44.15558838;1000;-3;10;n
1078;247.4294991;1045.651206;134.259;0.717548751;0.788435695;0.913559322;29.50793345;47.97123869;1000;-3;11;n
1505;260.1016611;438.0099668;143.381;0.880921429;0.3791263;0.958598726;42.64445135;46.08492437;1000;-3;12;n
1555;285.9890675;784.9678457;152.785;0.80371094;0.435619735;0.956334563;42.82623413;47.57779026;1000;-3;13;n
1058;299.8601134;1779.50189;117.925;0.907082717;0.339705295;0.966210046;35.65470879;37.90908913;1000;-3;14;n
2983;316.0626886;1100.369427;280.915;0.464572363;0.896633738;0.800160944;45.02986917;101.6996701;1000;-3;15;n
3092;337.6345408;1827.247413;292.848;0.443502903;0.900847878;0.814756258;45.37391251;104.515702;1000;-3;16;n
1189;322.569386;828.7746005;124.781;0.913055576;0.196410701;0.97299509;38.58181615;39.34825257;1000;-3;17;n
1294;329.6391036;333.5517774;133.539;0.870423151;0.284035575;0.959229059;40.20590869;41.93297084;1000;-3;18;n
1336;346.7185629;587.8585329;144.895;0.766087121;0.739899113;0.934265734;34.17050652;50.7947078;1000;-3;19;n
1647;351.2531876;258.5488767;151.006;0.871023696;0.340826902;0.958672875;44.86500909;47.72233282;1000;-3;20;n
1445;368.1584775;988.332872;138.303;0.907621996;0.274783194;0.973719677;42.09440791;43.77965256;1000;-3;21;n
1331;396.9631856;617.353118;134.077;0.888304778;0.501890803;0.967296512;38.31756508;44.30129733;1000;-3;22;n
2852;407.338359;1080.011921;287.383;0.42461329;0.864915965;0.828106852;46.52250294;92.68968942;1000;-3;23;n
1523;424.7307945;106.5338148;150.353;0.812313379;0.326009716;0.944203348;43.54735364;46.06399465;1000;-3;24;n
1633;421.8732394;1468.775873;161.626;0.755879306;0.40532828;0.943930636;44.27963367;48.43691598;1000;-3;25;n
1381;430.0731354;1579.891383;144.49;0.796241726;0.5261299;0.961029923;38.75804227;45.57602328;1000;-3;26;n
1384;437.9226879;1011.554191;132.919;0.939466368;0.268313179;0.976711362;41.23197739;42.80143148;1000;-3;27;n
1257;513.6579157;1519.055688;130.86;0.879681019;0.340485459;0.972157773;38.83639248;41.30433554;1000;-3;28;n
1373;522.0342316;1272.820102;137.592;0.871133775;0.380021964;0.968948483;40.25278008;43.51757929;1000;-3;29;n
1200;528.3441667;1627.471667;128.048;0.876177997;0.464906101;0.965406275;36.81465394;41.58156482;1000;-3;30;n
1536;568.7363281;578.5481771;149.311;0.830484346;0.337536873;0.953445065;43.48521711;46.19637584;1000;-3;31;n
1545;576.9307443;400.2071197;148.484;0.844487693;0.228321652;0.95194085;44.45674508;45.66289599;1000;-3;32;n
1447;612.8196268;489.3206634;140.784;0.877813675;0.486657169;0.966599866;40.27028338;46.09730335;1000;-3;33;n
1127;625.5368234;918.2076309;124.632;0.867464214;0.449939103;0.963247863;35.84128852;40.13315911;1000;-3;34;n
1330;642.743609;34.37744361;140.867;0.805906563;0.261557637;0.948644793;41.13718019;42.62090516;1000;-3;35;n
1398;700.1101574;1786.354793;144.274;0.808407232;0.305834119;0.961485557;41.59988159;43.69346198;1000;-3;36;n
1224;712.629085;536.8570261;129.628;0.872557461;0.393695291;0.96835443;38.30905322;41.67465679;1000;-3;37;n
1783;714.9001683;1145.902973;157.705;0.866039053;0.379151537;0.963263101;46.41044099;50.15530735;1000;-3;38;n
