Area;Centroid_1;Centroid_2;Perimeter;Circularity;Eccentricity;Solidity;MinorAxisLength;MajorAxisLength;Concentration;Time;Enumeration;rare
1506;39.39309429;1837.873174;150.444;0.80229462;0.297090707;0.941838649;43.70167165;45.76813683;1000;4;1;n
1330;53.03233083;1549.51203;139.238;0.824453209;0.271672637;0.950679056;40.65417399;42.24294278;1000;4;2;n
3258;77.86985881;1227.838858;580.483;0.120197041;0.914497137;0.576229218;52.74627873;130.3689409;1000;4;3;y
1043;146.3604986;602.8092042;123.657;0.81520213;0.19904861;0.957759412;36.29915289;37.04034434;1000;4;4;n
1494;164.5555556;1437.127175;150.188;0.798561738;0.446710629;0.934918648;41.98378592;46.92611483;1000;4;5;n
1098;229.1812386;1161.180328;120.34;0.904914942;0.3737389;0.965699208;36.04642398;38.86264632;1000;4;6;n
1171;237.7446627;1643.938514;136.907;0.750255627;0.402164653;0.940562249;37.39250829;40.84080527;1000;4;7;n
1304;251.1242331;1118.972393;137.964;0.822998419;0.61043451;0.948363636;36.68450637;46.31491877;1000;4;8;n
1373;295.8841952;1265.345229;160.244;0.646327874;0.580687808;0.920858484;38.91475256;47.79940345;1000;4;9;n
2319;317.1867184;1744.280293;242.105;0.484512123;0.394307213;0.931325301;52.30385775;56.91520234;1000;4;10;n
1380;323.25;193.0586957;140.792;0.837075477;0.407145632;0.938137322;40.80628359;44.67694906;1000;4;11;n
1386;326.9206349;1814.735931;147.987;0.76257018;0.355463675;0.92338441;41.6292851;44.53806163;1000;4;12;n
1682;352.6242568;955.0725327;153.661;0.85966526;0.305239647;0.967779056;45.19840104;47.4635731;1000;4;13;n
1011;377.0059347;1697.823937;126.27;0.758603174;0.404308751;0.938718663;34.86568734;38.12030089;1000;4;14;n
1205;412.7767635;1814.556017;123.731;0.940721958;0.292911737;0.973344103;38.33284626;40.09127002;1000;4;15;n
1509;512.0530152;1504.09609;144.696;0.867619571;0.26043279;0.970418006;43.10660752;44.64729739;1000;4;16;n
1527;513.232482;252.3614931;154.563;0.771543149;0.350341352;0.943757726;43.55058615;46.49750061;1000;4;17;n
1352;524.0569527;898.6723373;135.814;0.879902383;0.290727072;0.957507082;41.18501985;43.0442731;1000;4;18;n
1079;529.5134384;293.9703429;119.249;0.905180591;0.452677017;0.968581688;35.05075076;39.30890528;1000;4;19;n
1227;546.9641402;208.9527302;128.213;0.893642681;0.318318302;0.957098284;38.91597888;41.05130818;1000;4;20;n
1182;598.6565144;1000.596447;123.938;0.919762529;0.374444403;0.976052849;37.39166558;40.32536111;1000;4;21;n
1158;629.0880829;411.3721934;125.435;0.880226822;0.396286735;0.965804837;36.84260622;40.12801518;1000;4;22;n
1402;665.6583452;1756.496434;142.124;0.834895955;0.231920155;0.963573883;41.99088514;43.16786448;1000;4;23;n
1070;669.6429907;846.5560748;119.133;0.899334372;0.288414805;0.973612375;36.14834969;37.75262635;1000;4;24;n
1324;683.6555891;161.8542296;140.281;0.808840169;0.345329165;0.947745168;40.23696036;42.87453171;1000;4;25;n
1346;717.7109955;290.7830609;143.894;0.782366004;0.463980522;0.945888967;39.33379998;44.40255591;1000;4;26;n
1347;751.8893838;1486.377134;138.319;0.845875631;0.527182444;0.962830593;38.38431907;45.17119525;1000;4;27;n
2789;838.7891717;1601.161707;537.96;0.11970182;0.701728961;0.815497076;51.19262815;71.85494937;1000;4;28;y
1572;855.6399491;1300.620229;149.567;0.847101511;0.245056221;0.950998185;44.75036538;46.15776788;1000;4;29;n
1103;877.9709882;1354.180417;119.033;0.92858909;0.415576654;0.969244288;35.76931022;39.32602865;1000;4;30;n
2681;939.2860873;1001.44834;240.531;0.567405197;0.860321725;0.864002578;43.842968;86.00852236;1000;4;31;n
1195;924.125523;530.9748954;130.695;0.838355131;0.268668093;0.944664032;38.82582049;40.30782578;1000;4;32;n
1601;952.0293567;1589.780762;155.878;0.795609431;0.759578479;0.96678744;36.46567027;56.06517855;1000;4;33;n
1197;1035.609858;295.1620718;139.511;0.739170585;0.539390407;0.93151751;36.2888531;43.09554382;1000;4;34;n
1156;1095.199827;1411.531142;120.232;0.954384275;0.326994112;0.978831499;37.33052936;39.50210314;1000;4;35;n
1349;1124.790956;579.7294292;134.805;0.890840306;0.256902441;0.97400722;40.79120527;42.20781163;1000;4;36;n
1542;1137.178988;1789.171206;147.334;0.855779961;0.253304304;0.94369645;44.33004893;45.82454074;1000;4;37;n
1334;1137.617691;1368.961769;143.043;0.784444983;0.269172098;0.94811656;41.07537144;42.64947422;1000;4;38;n
1288;1174.916149;1017.579193;129.611;0.918416556;0.375356119;0.971342383;39.01637156;42.0942767;1000;4;39;n
1470;1195.497959;1693.241497;148.269;0.805776653;0.307156292;0.941101152;42.9793879;45.16258881;1000;4;40;n
1528;1197.366492;1811.350131;153.066;0.786917021;0.345524356;0.92382104;43.686264;46.55350447;1000;4;41;n
1907;1234.995281;525.7011012;644.901;0.05706285;0.585461956;0.482662617;70.20483792;86.59781444;1000;4;42;y
1496;1228.417112;1657.725267;146.482;0.839733155;0.468167668;0.941472624;41.71336357;47.20630574;1000;4;43;n
1097;1257.295351;266.7721057;137.369;0.698229768;0.77223114;0.914166667;30.25010701;47.61234368;1000;4;44;n
1290;1259.734884;725.9937984;132.927;0.875555718;0.349374009;0.965568862;39.27566774;41.91714577;1000;4;45;n
2045;1286.309535;804.0938875;680.821;0.054933653;0.560431968;0.539293249;68.91532563;83.21092364;1000;4;46;y
1104;1305.679348;450.7110507;124.459;0.852066625;0.175485516;0.972687225;37.25436798;37.84159334;1000;4;47;n
1777;1317.704558;1540.211593;154.157;0.902500846;0.295827383;0.963665944;46.83687369;49.03145214;1000;4;48;n
1259;1352.023828;1292.731533;133.027;0.853260608;0.273785817;0.969207082;39.30420944;40.86565815;1000;4;49;n
1318;1359.7739;719.3088012;144.928;0.755428753;0.411803205;0.912742382;40.21081927;44.12599516;1000;4;50;n
1186;1410.602867;1491.096121;193.764;0.384395637;0.411861183;0.866959064;39.52909323;43.37913934;1000;4;51;n
1359;1432.415011;1160.816777;140.611;0.826414538;0.425955651;0.94375;40.08766889;44.30829824;1000;4;52;n
1327;1450.828937;523.0075358;142.298;0.788343494;0.292070532;0.93516561;40.85216065;42.71465716;1000;4;53;n
1446;1501.863762;1256.466113;144.249;0.836447383;0.407949723;0.940793754;41.76083416;45.74001443;1000;4;54;n
1517;1566.74621;905.8286091;156.638;0.746711475;0.400398051;0.951693852;42.14968463;45.99780022;1000;4;55;n
1150;1573.062609;751.1669565;124.236;0.890679857;0.400454108;0.974576271;36.69551898;40.04675931;1000;4;56;n
1405;1641.654093;324.566548;141.942;0.838782934;0.332243028;0.941058272;41.6999756;44.21146003;1000;4;57;n
1491;1648.054326;527.8665325;138.882;0.928894772;0.384219834;0.978346457;42.10557403;45.60623391;1000;4;58;n
1287;1658.3885;66.43278943;129.843;0.914504309;0.421826252;0.970588235;38.57916761;42.55008229;1000;4;59;n
1454;1681.195323;687.0440165;136.831;0.932584637;0.207380785;0.97518444;42.58725;43.53365878;1000;4;60;n
1647;1710.075288;1254.876746;155.762;0.81966432;0.482588695;0.932616082;43.70728425;49.90287001;1000;4;61;n
2754;1752.632534;1792.948076;323.542;0.324279246;0.832765996;0.815516731;47.32272627;85.47792139;1000;4;62;y
1213;1757.596043;904.3841715;130.306;0.85595154;0.388772059;0.965764331;37.75781181;40.98167765;1000;4;63;n
1415;1774.151943;1487.75689;144.465;0.816121452;0.409732913;0.935228024;41.32356069;45.30071246;1000;4;64;n
1358;1775.793814;250.1266568;137.17;0.866807231;0.199915098;0.959039548;41.56069594;42.41695757;1000;4;65;n
1163;1781.296647;706.2828891;128.668;0.841192793;0.703267068;0.943227899;32.82687532;46.17482911;1000;4;66;n
1339;1810.966393;1232.427184;140.536;0.815102745;0.442640348;0.93767507;39.69248258;44.26510129;1000;4;67;n
1165;1844.903863;938.4626609;128.693;0.842319832;0.42344772;0.947154472;37.19939294;41.06253388;1000;4;68;n
