Area;Centroid_1;Centroid_2;Perimeter;Circularity;Eccentricity;Solidity;MinorAxisLength;MajorAxisLength;Concentration;Time;Enumeration;rare
2218;96.17628494;780.8597836;527.141;0.099118943;0.484386177;0.771210014;50.61807175;57.85885975;1000;2;1;y
1288;97.61413043;915.7104037;159.104;0.614865196;0.548560624;0.942898975;37.12015584;44.3962171;1000;2;2;n
1428;145.7191877;325.4768908;163.983;0.642476649;0.378396238;0.931506849;41.3853606;44.70981647;1000;2;3;n
1375;217.3323636;1234.529455;164.413;0.615460081;0.175011537;0.917890521;42.45557105;43.12108538;1000;2;4;n
1238;240.0387722;560.0702746;154.952;0.622446417;0.616886842;0.930127724;35.8277453;45.52145454;1000;2;5;n
1332;273.2072072;415.7695195;157.565;0.648106986;0.442721416;0.949394155;39.08718849;43.5920223;1000;2;6;n
1219;307.6759639;99.12305168;139.486;0.753019921;0.384600444;0.947900467;37.92700348;41.08731003;1000;2;7;n
2452;328.6109299;1084.784666;288.947;0.361161242;0.889153161;0.846100759;39.89408342;87.17927434;1000;2;8;n
1348;329.1995549;1357.315282;158.912;0.645033736;0.374179979;0.932226833;40.20792494;43.35758914;1000;2;9;n
1278;364.4749609;1009.021127;156.159;0.632857505;0.331905656;0.943173432;39.31928597;41.6821386;1000;2;10;n
1518;440.0355731;1471.899209;182.657;0.552582078;0.496755311;0.930147059;41.10690176;47.36414925;1000;2;11;n
1511;447.712773;1397.545334;157.151;0.739005076;0.351359234;0.937926754;43.09278964;46.02746778;1000;2;12;n
1077;530.7056639;84.81151346;150.702;0.571829743;0.614961771;0.929249353;33.15170795;42.04098269;1000;2;13;n
1207;534.2651201;1706.544325;134.391;0.801873523;0.340678163;0.94370602;38.56662797;41.02047365;1000;2;14;n
1504;541.7659574;1032.474069;157.838;0.729316522;0.34327457;0.949494949;42.77460613;45.54195879;1000;2;15;n
1710;602.5649123;1098.023392;868.764;0.028266175;0.61305365;0.611587983;45.11054895;57.09897718;1000;2;16;y
1479;606.8289385;226.9729547;164.529;0.661095558;0.239613937;0.942638623;42.98598088;44.27581274;1000;2;17;n
1474;660.6573948;653.0529172;165.884;0.648339397;0.354480528;0.927627439;42.91766521;45.89813416;1000;2;18;n
1485;666.6491582;439.8013468;172.559;0.604491036;0.378785606;0.928705441;42.5658352;45.99303128;1000;2;19;n
1138;685.2196837;1864.834798;150.75;0.603840638;0.527301554;0.920711974;35.68282667;41.99569436;1000;2;20;n
1320;692.9893939;959.7113636;168.68;0.561860258;0.325459468;0.926315789;40.53444206;42.86836781;1000;2;21;n
1549;715.0710136;122.3014848;169.573;0.652534107;0.211307864;0.924776119;44.69036851;45.7228099;1000;2;22;n
1303;719.1504221;576.6362241;146.706;0.729213565;0.344491668;0.948326055;39.5408965;42.11902856;1000;2;23;n
1226;795.3295269;1797.087276;180.796;0.455364676;0.462864366;0.884559885;38.47673822;43.40644672;1000;2;24;n
1344;800.093006;578.1294643;144.093;0.779093201;0.2548979;0.954545455;40.73317591;42.12463811;1000;2;25;n
1364;871.4963343;739.6414956;167.109;0.591353225;0.320509211;0.914209115;41.19969363;43.49421352;1000;2;26;n
2042;920.1415279;840.2987267;584.348;0.074347308;0.253958329;0.711994421;52.83301662;54.62385079;1000;2;27;y
1303;937.5364543;595.923254;151.693;0.682996201;0.329528852;0.941473988;39.65976481;42.00598803;1000;2;28;n
1178;959.4651952;1329.67657;137.972;0.74339127;0.469030254;0.960848287;36.63083212;41.47596757;1000;2;29;n
1220;970.9540984;305.647541;144.002;0.708087591;0.46152007;0.947204969;37.19404431;41.92627243;1000;2;30;n
1144;1005.222902;1359.838287;133.424;0.770820579;0.377022978;0.95572264;36.85341201;39.7897394;1000;2;31;n
1510;1056.118543;224.6741722;175.71;0.593200062;0.323327487;0.9384711;43.18982563;45.64135364;1000;2;32;n
1257;1095.228321;1881.020684;140.52;0.765356523;0.544415136;0.955893536;36.72613842;43.78331076;1000;2;33;n
1091;1135.243813;1741.442713;130.397;0.768813542;0.257204951;0.948695652;37.20460553;38.49986111;1000;2;34;n
1066;1147.052533;1806.337711;131.555;0.738335668;0.457430579;0.91580756;35.51838809;39.94216973;1000;2;35;n
1451;1178.570641;627.8938663;164.364;0.649858274;0.315885157;0.937944409;42.61144371;44.91100234;1000;2;36;n
1108;1175.316787;573.7319495;142.19;0.659218761;0.408740024;0.95025729;35.96866311;39.41119729;1000;2;37;n
1517;1191.783125;1107.481872;165.116;0.673358122;0.302357423;0.926129426;43.86182012;46.01559752;1000;2;38;n
1434;1207.267085;148.5690377;158.251;0.691817938;0.178830903;0.931773879;43.3282487;44.03815145;1000;2;39;n
2832;1287.035311;1089.91596;596.836;0.098862833;0.710207517;0.814495255;51.18319515;72.70418829;1000;2;40;y
1189;1273.334735;1585.398654;141.488;0.714294642;0.126099186;0.920991479;39.94262573;40.26402775;1000;2;41;n
1177;1316.432455;1576.08836;138.659;0.735580546;0.308206997;0.935612083;38.39123182;40.3557786;1000;2;42;n
1449;1339.721877;1792.416839;145.59;0.823136372;0.273469369;0.953917051;42.34335386;44.02141901;1000;2;43;n
1581;1355.716635;256.1606578;167.2;0.684699999;0.414715126;0.920792079;43.97884915;48.3309923;1000;2;44;n
1281;1381.992194;949.3052303;145.598;0.727621994;0.453451858;0.947485207;38.29843114;42.97010817;1000;2;45;n
1305;1386.318774;1644.288123;142.587;0.772201843;0.41030719;0.951166181;39.1878516;42.97161524;1000;2;46;n
1304;1401.967791;661.9539877;163.18;0.592366085;0.371730985;0.920254058;40.04291734;43.13386904;1000;2;47;n
2883;1429.196323;560.7173084;341.671;0.304711097;0.518068835;0.908603845;56.22510855;65.73430331;1000;2;48;n
1181;1510.174428;28.3827265;170.145;0.494230835;0.399675895;0.907066052;37.61292201;41.03273267;1000;2;49;n
1344;1642.352679;1715.578125;143.29;0.787661396;0.453812457;0.930747922;39.97751254;44.86324464;1000;2;50;n
1246;1656.077047;1222.731942;484.383;0.065877157;0.496187176;0.690304709;38.99548205;44.91451563;1000;2;51;y
1625;1708.196923;745.0147692;177.902;0.623012716;0.26966734;0.933371626;45.12449558;46.86051151;1000;2;52;n
1451;1713.245348;1206.668504;159.26;0.691347996;0.38244727;0.916614024;42.47643503;45.97129623;1000;2;53;n
1181;1753.916173;555.1600339;155.837;0.587195158;0.485726045;0.898098859;37.3794428;42.7628055;1000;2;54;n
1194;1771.303183;1273.096315;127.643;0.877204847;0.32576869;0.969943136;37.95541361;40.14536318;1000;2;55;n
1822;1783.760703;74.30570801;177.239;0.703685525;0.697215577;0.941602067;41.63276801;58.07644412;1000;2;56;n
1081;1812.510638;169.4190564;135.748;0.704200209;0.489885158;0.943280977;34.7238144;39.83061842;1000;2;57;n
1071;1843.360411;232.4537815;137.609;0.679358276;0.580109325;0.940298507;33.90512641;41.62494619;1000;2;58;n
1349;1855.106004;956.4084507;162.461;0.618141;0.551158801;0.921448087;38.39404326;46.01393368;1000;2;59;n
1475;1888.271186;492.2433898;173.51;0.59397309;0.472914039;0.926507538;41.73770448;47.36953641;1000;2;60;n
