Area;Centroid_1;Centroid_2;Perimeter;Circularity;Eccentricity;Solidity;MinorAxisLength;MajorAxisLength;Concentration;Time;Enumeration;rare
1406;40.95092461;1881.56899;140.594;0.855197725;0.389428536;0.953220339;41.07014537;44.59024735;1000;-2;1;n
1161;40.46167097;698.4246339;135.847;0.755237888;0.348579581;0.93253012;37.8799548;40.41480415;1000;-2;2;n
1001;128.1848152;1731.226773;125.418;0.761088161;0.704461961;0.927710843;30.396028;42.8268848;1000;-2;3;n
1381;146.2910934;42.89645185;138.526;0.864694137;0.268472856;0.956371191;41.78637447;43.37893445;1000;-2;4;n
1343;146.2092331;1839.662695;131.885;0.925650968;0.376355987;0.977438137;39.83031827;42.99124377;1000;-2;5;n
1253;149.0007981;1464.236233;123.408;0.983194481;0.373763238;0.980438185;38.4884332;41.49588273;1000;-2;6;n
1166;159.1466552;93.49914237;135.847;0.758490419;0.190370862;0.960461285;38.25959823;38.97231431;1000;-2;7;n
1642;166.2831912;611.3891596;152.585;0.850858721;0.378246503;0.946397695;44.76273577;48.35529683;1000;-2;8;n
1440;192.2180556;920.5840278;137.939;0.909154736;0.286972488;0.96969697;41.93777193;43.77917553;1000;-2;9;n
1182;214.2394247;1532.94247;123.896;0.920370796;0.258060643;0.97044335;38.16648503;39.50455485;1000;-2;10;n
1357;222.9638909;1811.77745;136.087;0.879696462;0.199610604;0.960368011;41.44053281;42.29163929;1000;-2;11;n
1319;232.6853677;60.98862775;130.413;0.929259491;0.156369256;0.970566593;40.77841525;41.2862917;1000;-2;12;n
1025;232.3209756;332.8292683;122.276;0.818873484;0.294205667;0.959737828;35.59532609;37.24365061;1000;-2;13;n
1556;244.4170951;1618.264139;151.709;0.815443195;0.482915558;0.944174757;42.34962788;48.36271266;1000;-2;14;n
1018;247.3939096;679.0343811;115.329;0.911457704;0.527289498;0.970448046;33.22845945;39.10676563;1000;-2;15;n
1543;256.8120544;512.1672067;151.188;0.814099279;0.334173553;0.948371235;43.8433471;46.51756971;1000;-2;16;n
1149;326.4177546;409.1087903;121.771;0.925374329;0.446611646;0.967171717;36.22641451;40.48874971;1000;-2;17;n
1116;337.8888889;260.9722222;150.262;0.595940632;0.585534804;0.919275124;34.99567297;43.17003749;1000;-2;18;n
1495;367.2327759;201.0889632;143.505;0.873588893;0.190781356;0.959563543;43.5607291;44.37579912;1000;-2;19;n
2032;393.9734252;712.3735236;343.48;0.212531027;0.850234177;0.71048951;45.68776778;86.79210691;1000;-2;20;y
1209;403.866005;123.2704715;125.682;0.915472602;0.420493125;0.971084337;37.42830472;41.25259681;1000;-2;21;n
1491;440.2199866;1147.37827;142.686;0.881065295;0.320673363;0.96007727;42.83010871;45.21808286;1000;-2;22;n
1506;459.2828685;852.8200531;151.271;0.793723805;0.410145088;0.934823091;42.80655518;46.9359681;1000;-2;23;n
1590;456.4308176;111.7830189;157.349;0.775725069;0.307212044;0.943060498;44.63703205;46.90532242;1000;-2;24;n
1535;516.8416938;1034.256678;151.825;0.803233986;0.408127378;0.94345421;42.77904263;46.85931807;1000;-2;25;n
1317;518.1040243;106.9422931;132.522;0.899226322;0.20388007;0.962719298;40.96186371;41.84069095;1000;-2;26;n
1623;531.3327172;694.3770795;153.628;0.829859794;0.402930298;0.944703143;44.23280412;48.32967872;1000;-2;27;n
1319;533.1842305;333.3699773;139.08;0.819452122;0.443196226;0.94416607;39.44188963;43.99911448;1000;-2;28;n
1150;583.2556522;576.9217391;147.822;0.634108039;0.783644842;0.889404486;31.06858785;50.01309098;1000;-2;29;n
1306;584.5459418;255.0206738;140.362;0.796943427;0.55511041;0.953981008;37.51501413;45.10226769;1000;-2;30;n
2657;637.9619872;1419.404968;251.828;0.513599554;0.86333484;0.862662338;43.70962987;86.61692651;1000;-2;31;n
1523;632.5298752;1682.508207;146.276;0.857247638;0.1935526;0.960883281;43.87695508;44.72266517;1000;-2;32;n
1374;675.4992722;1498.815866;136.343;0.887450462;0.144274206;0.966244726;41.81893833;42.26108447;1000;-2;33;n
1275;690.865098;724.092549;138.063;0.803567575;0.372662683;0.945144552;39.41463812;42.47418641;1000;-2;34;n
1161;692.1248923;317.1696813;132.357;0.794643828;0.345146226;0.946210269;37.92718453;40.41045017;1000;-2;35;n
1423;726.3218552;1355.208011;139.18;0.882822054;0.374421375;0.970668486;41.1456551;44.37343818;1000;-2;36;n
1501;736.1439041;324.8714191;147.962;0.82611589;0.465083986;0.947003155;41.71278372;47.11889672;1000;-2;37;n
1109;751.4544635;1862.8945;144.87;0.63613596;0.846383445;0.893634166;28.23061269;53.00786894;1000;-2;38;n
1695;764.9539823;1691.673156;154.728;0.854638769;0.485680274;0.949579832;44.02146831;50.35994589;1000;-2;39;n
1356;790.8023599;1199.837758;135.996;0.880198418;0.298336925;0.965811966;41.05230063;43.01099457;1000;-2;40;n
