"Area","Centroid_1","Centroid_2","Perimeter","Circularity","Eccentricity","Solidity","MinorAxisLength","MajorAxisLength","Concentration","Time","Enumeration","Aggregation"
1788,26.63143177,448.6991051,230.021,0.413294501,0.822654368,0.734895191,39.13028119,68.82568776,200,2,1,"y"
1036,22.56563707,900.0530888,131.844,0.714487745,0.849154579,0.904013962,27.27570333,51.64440563,200,2,2,"y"
1224,44.89460784,731.4624183,153.182,0.629422447,0.88552264,0.86440678,28.17950744,60.65375867,200,2,3,"y"
2592,81.33101852,232.5501543,319.563,0.312776826,0.764072463,0.655870445,60.61199575,93.95308763,200,2,4,"y"
3000,81.08733333,404.9856667,400.223,0.231705089,0.792118093,0.620860927,62.49824702,102.3943934,200,2,5,"y"
2606,98.02379125,633.995779,263.524,0.460521923,0.953850062,0.8169279,33.40141984,111.2330259,200,2,6,"y"
1176,70.89540816,549.1343537,159.261,0.560313736,0.908614167,0.852791878,26.37336064,63.14907071,200,2,7,"y"
1130,76.22300885,687.3539823,134.044,0.754520945,0.812136037,0.936205468,29.43686725,50.45154278,200,2,8,"y"
1618,91.368356,920.4851669,188.801,0.551881286,0.667976679,0.825931598,43.43676657,58.36845625,200,2,9,"y"
2529,122.7975484,710.3436141,227.722,0.596276638,0.758476722,0.881491809,48.25508253,74.04491758,200,2,10,"y"
1554,124.9433719,992.9208494,203.2,0.458656256,0.932810821,0.786835443,29.55322595,82.00881832,200,2,11,"y"
1437,116.1767571,318.9429367,153.959,0.731662818,0.62460641,0.90037594,39.71897421,50.86048726,200,2,12,"y"
2280,128.5969298,1169.059649,306.728,0.298391734,0.950882923,0.657060519,36.40965731,117.6209633,200,2,13,"y"
1177,122.8317757,137.0628717,156.167,0.582784409,0.905455427,0.845545977,26.76354938,63.0559408,200,2,14,"y"
1565,134.6894569,578.6587859,184.815,0.556684436,0.901641219,0.821953782,31.5680747,72.99233138,200,2,15,"y"
2308,189.6096187,820.5021664,344.341,0.240203628,0.86365615,0.632675439,50.51236374,100.2067605,200,2,16,"y"
2993,200.4263281,384.6702305,371.377,0.268145069,0.926726268,0.668677391,45.300673,120.5647888,200,2,17,"y"
1045,186.9301435,1087.062201,135.07,0.687443819,0.837354855,0.905545927,27.85053448,50.94674734,200,2,18,"y"
1484,226.9420485,34.81266846,173.336,0.598776329,0.888893927,0.872941176,30.72902249,67.07737552,200,2,19,"y"
1288,223.0923913,674.0170807,156.597,0.634316516,0.865399955,0.865591398,30.10271336,60.07545375,200,2,20,"y"
1290,231.0356589,568.2155039,151.618,0.676837509,0.878133333,0.87994543,29.32149491,61.28870308,200,2,21,"y"
1337,240.697831,846.8713538,168.052,0.573279298,0.892798379,0.854313099,29.17091852,64.75856994,200,2,22,"y"
1010,275.1168317,64.84257426,143.216,0.592516874,0.860158984,0.854483926,27.23621626,53.40162301,200,2,23,"y"
1811,289.4953065,432.426836,235.488,0.399649905,0.493211004,0.740998363,53.96351894,62.03347111,200,2,24,"y"
2808,304.210114,1109.97614,329.306,0.319271816,0.830873993,0.728404669,52.27996402,93.95088052,200,2,25,"y"
1007,282.3833168,644.4945382,128.619,0.728900512,0.853522914,0.913793103,26.41585202,50.69682919,200,2,26,"y"
1060,289.2292453,887.4773585,156.449,0.522999356,0.892378673,0.788690476,27.47144182,60.87349815,200,2,27,"y"
4459,344.3404351,58.24893474,494.704,0.226077844,0.899282001,0.644364162,61.25647074,140.056639,200,2,28,"y"
4824,347.6757877,551.2593284,466.344,0.275025286,0.893915545,0.679723827,64.41364929,143.7049489,200,2,29,"y"
1780,309.5949438,936.411236,223.884,0.433990507,0.933068771,0.769896194,32.08223831,89.19214493,200,2,30,"y"
1983,311.4891578,372.318709,228.921,0.462724291,0.689676375,0.816385344,47.89760824,66.14616073,200,2,31,"y"
1201,320.9558701,835.3547044,169.781,0.504718699,0.870376292,0.820355191,29.09188972,59.08336441,200,2,32,"y"
1254,344.5047847,988.7982456,153.438,0.642742596,0.86202142,0.882477129,29.45481559,58.11097144,200,2,33,"y"
1161,347.2609819,1055.660637,148.889,0.631219064,0.896169726,0.859363434,27.07678434,61.02341127,200,2,34,"y"
1909,360.3504453,761.1162913,192.97,0.623748134,0.468962123,0.86615245,49.77604981,56.3575857,200,2,35,"y"
1316,359.0326748,1189.591945,160.303,0.619048448,0.833379021,0.8934148,31.2550131,56.54949305,200,2,36,"y"
1197,380.3634085,1090.71345,146.019,0.676076459,0.862659357,0.895958084,28.36667794,56.08441838,200,2,37,"y"
1721,424.2655433,143.8547356,220.601,0.432009604,0.922740154,0.724936816,33.74585912,87.55546783,200,2,38,"y"
2408,436.2171927,473.6943522,258.753,0.441177427,0.595012872,0.798143852,55.45917751,69.00343624,200,2,39,"y"
1978,438.1425683,73.16026289,241.756,0.414445205,0.837777178,0.783987317,42.01890825,76.95597797,200,2,40,"y"
1007,475.8510427,851.8560079,132.167,0.69117589,0.864472703,0.891150442,26.09993406,51.92159288,200,2,41,"y"
1467,531.7675528,177.0463531,218.161,0.376415045,0.717534968,0.761286975,42.86770603,61.54532988,200,2,42,"y"
2778,544.162347,695.3239741,252.93,0.532377019,0.864214317,0.831985624,45.17989258,89.79874834,200,2,43,"y"
2933,570.8943062,764.5530174,376.686,0.255475293,0.907460189,0.549456725,56.41380653,134.274443,200,2,44,"y"
1212,531.0750825,471.0932343,144.142,0.702107715,0.853430547,0.917486752,28.88308147,55.41580336,200,2,45,"y"
1241,545.5060435,1076.175665,157.912,0.601230233,0.877964525,0.856452726,29.02555437,60.63086769,200,2,46,"y"
1655,547.8567976,840.6870091,228.921,0.386186939,0.854734007,0.714285714,40.43521621,77.89991307,200,2,47,"y"
1931,578.5023304,566.6944588,254.542,0.365442122,0.856083877,0.736741702,41.86565696,81.00361215,200,2,48,"y"
2035,605.8850123,864.5611794,204.929,0.59068082,0.479990966,0.856121161,51.17779272,58.33733352,200,2,49,"y"
2359,606.6078847,1135.936838,302.577,0.31717146,0.818320596,0.742992126,49.13378561,85.48543957,200,2,50,"y"
1245,623.5526104,156.2072289,155.489,0.621735008,0.844757094,0.863384189,29.96534407,55.99429637,200,2,51,"y"
1087,651.3735051,830.0515179,136.451,0.700994582,0.858350043,0.894650206,27.35702049,53.32081891,200,2,52,"y"
1149,656.0809399,1142.70322,146.227,0.647159476,0.868755808,0.894859813,27.68212969,55.89631457,200,2,53,"y"
1444,670.450831,1192.043629,221.8,0.358622493,0.914639731,0.671627907,33.75350917,83.49250852,200,2,54,"y"
1577,660.4736842,1056.710209,247.29,0.315982715,0.935371178,0.677114641,32.89983369,93.02473606,200,2,55,"y"
1010,684.590099,574.8089109,132.051,0.694425155,0.855501031,0.916515426,26.37922992,50.9447153,200,2,56,"y"
1058,692.1531191,935.3412098,139.693,0.651671504,0.858682469,0.884615385,27.06520523,52.80933548,200,2,57,"y"
1676,707.1807876,1024.102625,221.015,0.419160979,0.804697296,0.782446312,40.47731744,68.17975102,200,2,58,"y"
2334,701.2742074,1127.271637,263.971,0.411075875,0.886225331,0.734193142,43.81401511,94.57872976,200,2,59,"y"
1325,699.0807547,134.3154717,172.873,0.537438027,0.747816702,0.821450713,37.29007817,56.16777126,200,2,60,"y"
1937,766.4734125,166.6561693,278.931,0.305926927,0.909075802,0.732048375,36.92577081,88.62948857,200,2,61,"y"
1434,753.8556485,543.2126918,224.067,0.349067578,0.963049029,0.754736842,25.03497093,92.95410905,200,2,62,"y"
1025,795.16,703.7863415,149.013,0.556369864,0.888933573,0.853455454,25.75169297,56.22196776,200,2,63,"y"
1131,808.4270557,1074.206897,144.854,0.648895712,0.85475213,0.928571429,27.54936272,53.07789997,200,2,64,"y"
3416,881.4795082,314.6873536,452.989,0.206323798,0.933772925,0.579474131,53.28390961,148.8934379,200,2,65,"y"
2195,916.3571754,981.4555809,247.687,0.438419948,0.964427499,0.853753403,27.98171394,105.8520105,200,2,66,"y"
1686,943.7615658,193.1625148,192.018,0.556272548,0.903177259,0.83177109,32.11615982,74.81614106,200,2,67,"y"
1028,939.8511673,318.1468872,149.476,0.554617771,0.885314798,0.833738848,26.58164559,57.16579309,200,2,68,"y"
1099,968.9317561,918.4476797,168.557,0.468461695,0.904635986,0.791786744,27.09165532,63.56781559,200,2,69,"y"
1958,983.8370787,137.6230848,208.345,0.550119287,0.880660111,0.825115887,36.82776616,77.73693358,200,2,70,"y"
1234,988.8168558,221.2771475,152.297,0.641811231,0.885586068,0.888408927,27.73768331,59.7183156,200,2,71,"y"
1141,988.2296231,465.6248904,187.172,0.39587301,0.923992758,0.765258216,26.53180581,69.3805289,200,2,72,"y"
